City,Community,Vertical,Kolabing Fit,Platforms,Profile/Handle,Est Audience,Attendee Range,Cadence,Leader,Last Event,Monetised,Collab Businesses,Collab Evidence Links,Language
Amsterdam,Rapha Cycling Club Amsterdam,cycling,LOW-MED,web + Strava,,audience n/f,20–40/ride,weekly Sunday,,Rapha Sunday Social,,"Rapha (brand-owned clubhouse, Wolvenstraat 10)",,EN
Amsterdam,AI Tinkerers Amsterdam,tech/AI builders,HIGH,Luma + web,,"Fit: HIGH (builder audience, rotating corporate sponsors)",130+/event,monthly,,AI Tinkerers Demo Night 2026-09-03,,"Gradium + ML6 (Sep); prior Cloudflare, Auth0, MotherDuck, Google Cloud",Gradium + ML6 (https://amsterdam.aitinkerers.org/p/ai-tinkerers-amsterdam-november-2025-edition) ; Cloudflare (prior) (https://amsterdam.aitinkerers.org/p/ai-tinkerers-amsterdam-september) ; MotherDuck (prior) (https://amsterdam.aitinkerers.org/p/ai-tinkerers-amsterdam-x-motherduck-may-demo-night),EN
Amsterdam,Product Meetup Amsterdam,tech/product,HIGH,Meetup + LinkedIn,last: PM AI Toolkit @ Silverflow 2026-07-27,"1,344 members",51–73/event,monthly,Parth Parikh,PM AI Toolkit @ Silverflow 2026-07-27,,"Silverflow (host); prior Amplitude, Adyen, Fairphone",Silverflow / Amplitude / Adyen / Fairphone (https://www.meetup.com/product-meetup-amsterdam/),EN
Amsterdam,Amsterdam AI Developers Group (AICamp),tech/AI dev,HIGH,Meetup + aicamp.ai,,"2,651 members",6–12/event,weekly/monthly,kevinl (Super Org),Google AI Deep Dive Ep 3 2026-09-02,,Google Cloud (co-host); prior ML6,Google Cloud + ML6 (https://www.aicamp.ai/event/eventdetails/W2026031009),EN
Amsterdam,Ethereum DEV NL (#ETHDEVNL),tech/Web3,MED-HIGH,Meetup,,"2,444 members",15–69/event,monthly/quarterly,Wesley +7,Protocol updates 2026-07-02,,Maven 11 (VC venue host); NFT Playground,Maven 11 (https://www.meetup.com/ethereum-dev-nl/),EN
Amsterdam,GenAI/LLM/ML Meetup (Weaviate),tech/GenAI,MED,Luma,,audience n/f,,recurring,Marion Nehring (Weaviate),GenAI Year-End Special,,"Weaviate (host); ML6, Orquesta, B. Amsterdam",,EN
Amsterdam,AIC: Amsterdam International Community,expat/social,HIGH,Meetup + IG/FB/LinkedIn,@Aloha,"25,489 members",8–41/event,weekly+,Attila (Super Org) +5,Internationals @Aloha 2026-08-22,,"Breugem Brewery; Amsterdam Comedy Club, The College Hotel",Breugem Brewery + Amsterdam Comedy Club (https://www.eventbrite.nl/e/the-brewery-comedy-open-mic-edition-at-breugem-brewery-houthavens-tickets-1996820697459) ; The College Hotel (n/f),EN
Amsterdam,The Amsterdam Expat Meetup Group,expat/social,HIGH,Meetup + FB/X/LinkedIn,,"35,966 members",3–83/event,weekly,Summer (Super Org) +4,Board Games Night 2026-08-27,,City of Amsterdam (sponsors monthly board-games night),City of Amsterdam (https://www.meetup.com/amsterdam-expat/),EN
Amsterdam,Amsterdam Film Group,creative/film,MED-HIGH,Meetup + WhatsApp,,"1,179 members",4–13/event,~weekly,Ben (Super Org) +4,Trainspotting 30th 2026-08-21,,"LAB111 (venue); De Uitkijk, H’ART Museum",LAB111 / De Uitkijk (https://www.meetup.com/amsterdam-film-group/) ; H’ART Museum (n/f),EN
Amsterdam,Amsterdam Culture Club (ACC),culture/art/music,MED,Meetup,,"4,677 members",1–7/event,~monthly,Arthur Augustijn +3,Eeden Album Release Tour 2026-06-20,,Theater De Richel (venue); Luther Museum,Theater De Richel / Luther Museum (https://www.meetup.com/nl-nl/amsterdam-culture-club/),EN
Amsterdam,IsBurning,nightlife/queer house-techno,MED-HIGH,web + IG @isburningparty + RA,@isburningparty,audience n/f (RA “most popular LGBTQIA+ party”),,~monthly + Pride/festival,Carlos Valdes + Sandrien (co-founders),IsBurning x CVNT Collective @ Houtbaar 2026-07-17,,CVNT Collective; Resident Advisor,CVNT Collective (https://ra.co/events/2487473) ; Resident Advisor (https://ra.co/news/85143),EN
Amsterdam,EAST Techno Collective,nightlife/techno,MED-HIGH,IG @eastcollective_amsterdam + RA + Eventbrite,@eastcollective_amsterdam,"~4,877 IG",,weekly (Thu + weekends),,EAST Basement Party @ Onder Hans 2025-11-29,,Paradiso (venue/co-programmer),Paradiso (https://www.paradiso.nl/en/program/east-collective/1749349),EN
Amsterdam,Amsterdam Founders Club,business networking,MED,Meetup + Eventbrite + web,,audience n/f (bot-gated),,monthly (2nd Tue),,Founders Growth Night 2025-09-09,,LaMatu Coaching Amsterdam (host),LaMatu Coaching (https://lamatu.com/events/founders-growth-night-amsterdam-09-09-2025/),EN
Amsterdam,Badhus Amsterdam,wellness/social sauna + cold plunge,MED,web + IG @badhus.amsterdam + TikTok,@badhus.amsterdam,audience n/f,,daily saunagus + events,Julie & Max (co-founders),Badhus West launch,,Klaproos (Noord hospitality/build partner),,EN/NL
Warsaw,Social Running Club,running,HIGH,IG @socialrunning_club + Strava,@socialrunning_club,"~9.1k IG / ~4,500 members",,weekly Wed 18:30 (Skaryszewski Park),"Wiktor, Michał, Kuba (email socialrunning.warsaw@gmail.com)",,,ON Running (club are ON ambassadors) + Omi Athletics,runningcrews.com/crews/social-running-club-warsaw,EN/PL
Warsaw,KULT Cycling,cycling,HIGH,IG @kult.cc + Strava (kultcc) + shop/café (Belwederska 44),@kult.cc,2k IG,,weekly rides + specials,KULT shop/café team,,,"Isadore, Fingerscrossed, Sweet Protection, Alba Optics, UUA Velosport",kultcycling.com/blogs/journal/join-the-kult-cycling-community-and-our-weekly-group-rides-in-warsaw,EN/PL
Warsaw,adidas Runners Warsaw,running (brand-owned),LOW-MED,IG @runnersofwarsaw + Strava 270252 + FB,@runnersofwarsaw,7k IG,,weekly free trainings,adidas Runners (brand-run),,,adidas (owner),adidas.com/us/adidasrunners/community/warsaw ; Bieg SGH partner run: facebook.com/biegsgh,PL/EN
Warsaw,Founders Running Club Warsaw,running + networking,HIGH,Meetup + IG + Strava,@foundersrc,454 Meetup members,4–9/run,weekly Sat 9:30,"Tim Tkachenko (Super Organizer) (public phone +48 792 579 069, IG @foundersrc)",FRC run @ Klubokawiarnia Kolonia 2026-08-22,,Klubokawiarnia Kolonia (recurring venue),meetup.com/founders-running-club-warsaw/,EN
Warsaw,Warsaw.AI,AI/tech meetup,HIGH,warsaw.ai + Meetup,,audience n/f,,monthly,Fundacja Quantum AI,,,Allegro Tech (strategic partner),warsaw.ai,EN/PL
Warsaw,Mindstone Warsaw AI Community,AI meetup,MED-HIGH,Meetup + Mindstone,,audience n/f,link: community.mindstone.com/events/mindstone-warsaw-may-ai-meetup-2026 → CRM**,monthly,Mindstone (global network),,,Mindstone (host) + venue partners,community.mindstone.com/events/mindstone-warsaw-may-ai-meetup-2026,EN
Warsaw,AI Tinkerers Poland,AI builder meetup,MED-HIGH,poland.aitinkerers.org,,audience n/f,,recurring,AI Tinkerers (global),,,global AI Tinkerers sponsors,poland.aitinkerers.org,EN
Warsaw,Tech Startups in the Pub – Warsaw,startup networking,MED,Meetup,,audience n/f,link: meetup.com/tech-startups-in-the-pub-relaxed-networking/events/315947819/,recurring after-work,Rob W. (Super Organizer),2026-08-20,,pub venue partner,meetup.com/tech-startups-in-the-pub-relaxed-networking/events/315947819/,EN
Warsaw,Warsaw Makers & Founders,builders/founders,MED,Meetup,,audience n/f,,recurring,organizers,,,,meetup.com/warsaw-makers-and-founders/,EN
Warsaw,Startup Grind Warsaw,startup networking,MED-HIGH,startupgrind.com (Warsaw chapter),,audience n/f,link: startupgrind.com/events/details/startup-grind-warsaw-presents-open-pitch-session-feb-2026/ → CRM**,monthly,SG Warsaw chapter,,,Google for Startups (SG is Google-powered),startupgrind.com/events/details/startup-grind-warsaw-presents-open-pitch-session-feb-2026/,EN
Warsaw,Venture Café Warsaw (Thursday Gathering),business/innovation networking,HIGH,venturecafewarsaw.org,,,,bi-weekly Thu,Venture Café Foundation (Michał Szaniewski + ambassadors),Thursday Gathering #262,,OVHcloud (startup program) + many corporate partners,startup.ovhcloud.com/en/partners-community/venture-cafe-warsaw/,EN/PL
Warsaw,Warsaw Creative Club,nightlife/culture/experience,MED-HIGH,Luma,last: “X Social Praga: Ritmo” @ The Social Praga 2026-08-19,audience n/f,,~weekly,Elliott Chapman,“X Social Praga: Ritmo” @ The Social Praga 2026-08-19,,The Social Praga; Mindspace Koszyki; Smolna 13 (venues),luma.com/warsaw,EN
Warsaw,CreativeTech Poland,creative-tech meetup,MED-HIGH,Luma,last: CreativeTech Poland Meetup_03 @ Prześwit 2026-08-19,165+ RSVP,,~monthly,Agnieszka Cichocka,CreativeTech Poland Meetup_03 @ Prześwit 2026-08-19,,"Prześwit (venue), women-in-tech series",luma.com/warsaw ; linkedin.com/in/agnieszka-cichocka-arttech,EN/PL
Warsaw,Warsaw Food Club,food/supper club,MED-HIGH,Luma,last: “Dinner #3 Caribbean” @ KALBAS 2026-08-18,audience n/f,,recurring,Warsaw Food Club team (host Anna.),“Dinner #3 Caribbean” @ KALBAS 2026-08-18,,"Braavo Capital + Taige (co-hosts), KALBAS (venue)",luma.com/warsaw,EN
Warsaw,Warsaw Book Club,creative/culture (books),MED,IG @warsawbookclub + FB group,@warsawbookclub,36k IG,,monthly,organizers,,,,facebook.com/groups/warsawbookclub/,EN
Warsaw,Warsaw Social (+ Language Exchange),expat/social,MED-HIGH,Eventbrite + Meetup,,audience n/f,link: meetpeoplesocial.com/events/social-events-in-warsaw → CRM**,weekly Fri 17:30,Warsaw Social / Meet People Social,,,AZYL Shot & Craft Beer Bar (recurring venue),meetpeoplesocial.com/events/social-events-in-warsaw,EN
Warsaw,InterNations Warsaw,expat networking,MED-HIGH,internations.org (Warsaw),,audience n/f,,monthly,Warsaw Ambassadors,,,restaurant/bar venue partners,internations.org,EN
Warsaw,Smolna (techno community),nightlife/techno,MED-HIGH,web + IG (venue),,,,weekly (Sat “Smolna: NN”),Smolna club team,,,resident-DJ + brand-activation venue,warsawnightlifegroup.com/venues/smolna-club/,PL/EN
Warsaw,MORSly (cold plunge / morsowanie),wellness/ice bath,HIGH,morsly.pl + IG + FB,,audience n/f,link: morsly.pl ; facebook.com/events/vizavi/morsowanie-ice-bath-sauna/382595372293709/ → CRM**,recurring pop-ups,MORSly team,,,B2B model,morsly.pl ; facebook.com/events/vizavi/morsowanie-ice-bath-sauna/382595372293709/,PL/EN
Warsaw,Digital People Warsaw,digital nomads/freelancers,MED,Meetup,,audience n/f,,recurring,organizers,,,,meetup.com/digital-people-warsaw/,EN
